id,status_group
50785,functional
51630,functional
17168,functional
45559,non functional
49871,non functional
52449,functional
24806,non functional
28965,non functional
36301,functional
54122,functional
419,non functional
45750,functional
653,functional
14017,functional
44607,functional
40228,functional
27714,functional
28785,non functional
28330,functional
18532,non functional
69961,non functional
55083,non functional
8691,functional
30331,functional
70970,non functional
61136,functional
28799,non functional
46825,functional
44718,functional
37350,non functional
65738,functional
3271,functional
42658,non functional
67523,functional
37034,functional
42432,functional
27420,functional
707,non functional
48489,non functional
51008,functional
72562,non functional
10275,functional
53540,functional
43291,non functional
8813,functional
62343,non functional
1649,functional
8822,functional
10352,functional
50878,functional
15266,non functional
51956,functional
44099,functional
59,functional
51359,non functional
15962,functional
17853,non functional
42040,non functional
72243,functional
63653,functional
26510,non functional
72053,functional
29351,functional
51897,non functional
20376,functional
26804,functional
67303,functional
69780,non functional
45374,non functional
54665,functional needs repair
39341,non functional
8869,functional
20691,non functional
19693,non functional
14321,non functional
63059,functional
67403,functional
28912,functional
12549,non functional
24328,non functional
13750,functional
1574,non functional
44149,non functional
53917,functional
22705,non functional
66465,non functional
15644,non functional
20773,functional
33092,functional needs repair
54392,functional
37850,non functional
5576,non functional
60840,functional
9971,functional
57508,non functional
25872,non functional
43978,functional
38181,functional
24325,functional
2724,non functional
34794,non functional
56525,functional
63155,functional
67247,functional
23387,functional
17873,non functional
18197,non functional
24834,functional
4091,functional
33261,functional
44384,functional
62096,functional
64554,functional
68314,non functional
53,functional
23426,functional
38259,functional
16631,functional needs repair
43162,functional
44492,functional
38884,functional
13690,functional
60335,non functional
31856,non functional
67891,functional
25564,functional
55293,non functional
31866,functional
71178,functional
60279,non functional
28615,non functional
8744,non functional
48308,non functional
49626,non functional
38098,non functional
30309,functional
8015,functional
3496,non functional
56971,non functional
68616,non functional
8646,functional
74104,non functional
37501,functional
33001,non functional
69202,functional
68409,functional
51847,functional
55647,functional
17923,functional
71743,non functional
51539,functional
73819,functional
66881,functional
58768,functional
2648,non functional
68933,functional
12427,functional
16633,functional
24123,functional
58551,non functional
17132,non functional
3027,non functional
2651,non functional
25998,functional
63400,functional
50028,functional
67897,functional
21425,functional
71756,functional
16862,non functional
15420,non functional
47784,functional
712,functional
54368,non functional
2866,functional
51130,functional
27993,non functional
21621,functional
66038,functional
42182,non functional
17694,functional
57759,non functional
47978,functional
52359,functional
69656,functional
24086,non functional
43579,functional
43284,functional
2877,non functional
21171,functional
40982,functional
48396,functional
13323,functional
28467,non functional
2768,non functional
73593,non functional
65164,non functional
69976,non functional
52145,non functional
49259,functional
23542,non functional
69848,functional
9305,non functional
14359,non functional
28925,functional
21243,non functional
10616,functional
73667,functional
20566,functional
63711,functional
72840,non functional
31651,functional
3782,functional
6799,functional
21402,functional needs repair
35390,functional
12636,functional
36887,non functional
20086,functional needs repair
5634,non functional
48029,functional
29927,non functional
2930,functional
41800,functional
68349,non functional
61678,functional
30270,non functional
4678,functional
9392,functional
20735,functional
49300,functional
70339,functional
25572,functional
61445,functional
32190,functional needs repair
39189,functional
14853,functional
52207,functional
48035,non functional
73122,functional
16352,non functional
42721,functional
15116,non functional
7837,functional
56907,functional
46382,non functional
64521,non functional
67362,functional
61861,non functional
72139,non functional
3398,functional
62911,non functional
48152,functional
48001,functional
64118,functional
65793,non functional
61557,functional
32352,functional
1830,functional
50553,functional
51961,functional
38481,non functional
48371,functional
56540,functional
18142,functional
72934,non functional
39300,functional
40115,functional
3793,functional
59318,functional
68070,functional
67527,functional
34898,functional
26592,functional
67682,functional
52394,functional
32218,non functional
69045,functional
12808,functional
49250,non functional
64126,functional
64903,non functional
35165,functional
9543,functional
64635,functional needs repair
47929,non functional
28329,functional
67954,non functional
16575,functional needs repair
16612,functional
27003,functional
73324,non functional
7043,non functional
22174,functional
19450,functional
35825,functional
9854,functional
23254,functional
72170,functional
61999,functional
70354,functional
